name,newprice,oldprice,stock,warranty,data,productlink
"ASUS TUF Gaming F15 FX507ZI4-LP34W  andIntel Core i7-12700H andNVIDIA RTX 4070 8GB and 16GB DDR4 RAM and 512GB SSD and15.6 Full HD (1920x1080) with 144Hz","61799","63999","In Stock","ضمــــــان سنــــة","Processor: Intel Core i7-12700H (14 cores and high-performance).Graphics Card: NVIDIA GeForce RTX 4070 (8GB GDDR6).Memory: 16GB DDR4 RAM and upgradeable.Storage: 512GB SSD (fast boot and load times).Display: 15.6" Full HD (1920x1080) with 144Hz refresh rate.OS: Windows 11 Home pre-installed.Build: Sturdy design in a sleek gray finish and ideal for gaming on the go.","https://www.sigma-computer.com/item?id=7479&name=ASUS_TUF_Gaming_F15_FX507ZI4-LP34W_,Intel_Core_i7-12700H,NVIDIA_RTX_4070_8GB,_16GB_DDR4_RAM,_512GB_SSD,15.6_Full_HD_(1920x1080)_with_144Hz_"
"JSAUX- CV0011 8K 60HZ - 4K 120HZ HDMI TO HDMI ALUMINUM ALLOY CABLE - 3M - GREY","349","400","In Stock","no warranty","Resolution & Performance: Supports 8K@60Hz and 4K and 1080p and and 720p resolutions with ultra-fast data transfer rates up to 48Gbps. Ideal for movies and gaming and and high-refresh-rate setups.Build Quality: Aluminum alloy housing with durable nylon braiding and corrosion-resistant gold connectors for superior video and audio transmission.Advanced Features:
	
HDR10 and Dolby Atmos and and Dolby Vision support for lifelike visuals and immersive sound.
ARC/eARC for enhanced audio return.
Automatic Low Latency Mode (ALLM) and Variable Refresh Rate (VRR) for smooth and lag-free performance.
Quick notification switching for seamless usage.HDR10 and Dolby Atmos and and Dolby Vision support for lifelike visuals and immersive sound.ARC/eARC for enhanced audio return.Automatic Low Latency Mode (ALLM) and Variable Refresh Rate (VRR) for smooth and lag-free performance.Quick notification switching for seamless usage.Compatibility: Works with Blu-ray players and Fire TV and Apple TV and PS5/PS4/PS3 and Xbox consoles and Nintendo Switch and PCs and laptops and and monitors.Cable Length: 3 meters and suitable for versatile use in home or office setups.","https://www.sigma-computer.com/item?id=7478&name=JSAUX-_CV0011_8K_60HZ_-_4K_120HZ_HDMI_TO_HDMI_ALUMINUM_ALLOY_CABLE_-_3M_-_GREY"
"Sigma laptop Backpack For School and Travel Bag (RED)","199","300","In Stock","no warranty","Reliable and Functional: Designed for school and travel and and everyday activities.Premium Durability: Crafted from strong Oxford fabric for lasting use.Comfortable Design: Lightweight with ergonomic and padded straps for maximum comfort.Spacious Fit: Supports laptops up to 15.6 inches and with ample room for books and accessories.Bold Aesthetic: Eye-catching red color for a stylish and dynamic look.","https://www.sigma-computer.com/item?id=7465&name=Sigma_laptop_Backpack_For_School_and_Travel_Bag_(RED)"
"Sigma laptop Backpack For School and Travel Bag (purple)","199","300","In Stock","no warranty","Reliable Design: Tailored for school and travel and and everyday use.Durable Material: Made from strong Oxford fabric for excellent longevity.Comfortable Wear: Lightweight with padded and ergonomic straps for hassle-free carrying.Spacious Storage: Fits laptops up to 15.6 inches and with additional compartments for books and accessories.Unique Style: Vibrant purple color that stands out with a modern and elegant touch.","https://www.sigma-computer.com/item?id=7464&name=Sigma_laptop_Backpack_For_School_and_Travel_Bag_(purple)"
"Sigma laptop Backpack For School and Travel Bag (Navy blue)","199","300","In Stock","no warranty","Reliable and Versatile: Perfect for school and travel and and daily use.Durable Build: Made with strong Oxford fabric for long-lasting performance.Lightweight Comfort: Ergonomic design with sturdy and padded straps for comfortable wear.Spacious Fit: Accommodates laptops up to 15.6 inches and with multiple compartments for organized storage.Stylish Appeal: Elegant navy blue finish for a sleek and professional look.","https://www.sigma-computer.com/item?id=7463&name=Sigma_laptop_Backpack_For_School_and_Travel_Bag_(Navy_blue)"
"Sigma laptop Backpack For School and Travel Bag (Gray)","199","300","In Stock","no warranty","Reliable Design: Ideal for school and work and and travel.Premium Material: Crafted from strong Oxford fabric for enhanced durability.Comfort First: Lightweight construction with ergonomic and sturdy straps for all-day comfort.Spacious Capacity: Fits laptops up to 15.6 inches and with extra compartments for accessories and books.Modern Look: Sleek gray color and combining style with practicality.","https://www.sigma-computer.com/item?id=7462&name=Sigma_laptop_Backpack_For_School_and_Travel_Bag_(Gray)"
"Sigma laptop Backpack For School and Travel Bag (Blue)","249","300","Out Of Stock","no warranty","Reliable Design: Designed for school and work and and travel.Material: Made from strong Oxford fabric and ensuring durability and resistance to wear and tear.Comfortable: Lightweight yet sturdy with ergonomic straps for extended use.Capacity: Fits laptops up to 15.6 inches and alongside books and other essentials.Stylish & Practical: Modern blue design with multiple compartments for organized storage.","https://www.sigma-computer.com/item?id=7461&name=Sigma_laptop_Backpack_For_School_and_Travel_Bag_(Blue)"
"Sigma laptop Backpack For School and Travel Bag (Black)","199","300","Out Of Stock","no warranty","Color: BlackPurpose: Ideal for school and travel and and daily use.Material: Made with strong Oxford fabric for durability.Comfort: Lightweight with comfortable and sturdy design.Compatibility: Fits laptops up to 15.6 inches.","https://www.sigma-computer.com/item?id=7460&name=Sigma_laptop_Backpack_For_School_and_Travel_Bag_(Black)"
"Hikvision E100N M.2 2280 SATA III SSD - 128GB (550MB-s Read - 440MB-s Write)","699","999","In Stock","no warranty","High R/W Speed (SATA Interface):Max. Read Speed: Up to 560 MB/sMax. Read Speed: Up to 560 MB/s3D NAND Technology:Provides higher capacity and performance and and stabilityProvides higher capacity and performance and and stabilityVibration-Resistant Structure:No mechanical components; electronic chip control ensures better data safetyNo mechanical components; electronic chip control ensures better data safetyApplication Field:Ideal for personal computers and laptops and and other devices.Ideal for personal computers and laptops and and other devices.","https://www.sigma-computer.com/item?id=7453&name=Hikvision_E100N_M.2_2280_SATA_III_SSD_-_128GB_(550MB-s_Read_-_440MB-s_Write)"
"HIKVISION T200N 256GB SSD USB 3.1 Type-C and High-Speed Read-Write (450 MB-s)","1299","1500","In Stock","no warranty","High-Speed Transmission: The maximum read speed is up to 450MB/s and which is 4 times faster than a mechanical hard disk.Capacity Expansion for Mobile Phones: Can connect to Android phones and Android tablets and and other devices via OTG cables for expanded storage.Shock Resistant and Heat Dissipation: The metal case helps dissipate heat effectively. The consumer SSD uses the E2000 M.2 interface.3D NAND Flash: Stereoscopic storage technology allows each storage unit to be more compact and greatly improving the storage capacity of flash memory.
	 
	Overview:
Introduction
The T200N Portable SSD is designed to expand storage capacity for Android phones and Android tablets and PCs and and laptops via the USB 3.1 Type-C interface and addressing the need for long-term and large-capacity storage. The T200N series SSD is popular among individuals and designers and and video editors who require reliable and fast storage.","https://www.sigma-computer.com/item?id=7447&name=HIKVISION_T200N_256GB_SSD_USB_3.1_Type-C,_High-Speed_Read-Write_(450_MB-s)"
